username,location,text,hashtags,tweet_date
SUNSET99,CANADA EAST ,"DR. B. BRIDLE Professor U of Guelph
A recent study came out looking at 68 different countries, and they plotted on a graph, the case rate for COVID-19, and the vaccination rate in the country, and the more vaccinated the country is, the more problems they’re having with COVID-19. https://t.co/vhVNP14Hme",[],2021-11-23 23:54:47+00:00
Parent Security,,#childsafety | How to help your child have a positive COVID-19 vaccination visit https://t.co/whvuwKMhtF,"[{'text': 'childsafety', 'indices': [0, 12]}]",2021-11-23 23:52:28+00:00
Gregory D. Evans,United States,#childsafety | How to help your child have a positive COVID-19 vaccination visit https://t.co/EwhWCNiXoA,"[{'text': 'childsafety', 'indices': [0, 12]}]",2021-11-23 23:52:27+00:00
Jeremy,,"@DrP_MD I found this: 

https://t.co/hBCEeluSYl 

Under frequently asked questions re:consent 

“Consent for vaccination for children 5 to 11 years of age needs to be provided by a parent or legal guardian.”

It also states clearly clinics will be held outside of school hours",[],2021-11-23 23:51:48+00:00
Denan Strong - Americanist,"California, USA","@AidyTmwl @mp_mjp @Revelation2041 Which leftist govt isn't using fear of COVID-19 to divide us (vaxxed v. un-vaxxed, black v. white...); ignore human right to *full informed consent* for vaccination, etc.
Prior vaccines req'd 5-10yrs of dev/testing cycles before being called ""safe &amp; effective"". C19 less than 1yr.",[],2021-11-23 23:51:27+00:00
Shoreline/LFP Patch,"Shoreline, WA","All county-operated COVID-19 vaccination sites will be closed for the holiday, and just one will be open on Friday. Here's what to know. https://t.co/rZCycHnalD",[],2021-11-23 23:51:23+00:00
10 News First Queensland,Brisbane,"#Breaking: Vaccination Mandate Rules To Come Into Effect On Dec 17

Rules surrounding what Queenslanders can and can't do regarding the COVID-19 vaccination status will come into effect on December 17. https://t.co/p1ulgs21Es","[{'text': 'Breaking', 'indices': [0, 9]}]",2021-11-23 23:50:58+00:00
Julie Anne,Alberta,New Analysis of ONS Data Finds that Vaccine Effectiveness Against Death Has Been Overestimated and Uncovers an Alarming Spike in Covid Deaths Post-Vaccination – The Daily Sceptic https://t.co/XG3jZGU6Fd,[],2021-11-23 23:50:52+00:00
The Blue Whale,,"Detroit automakers ask union workers to submit Covid vaccination status

The Detroit automakers are asking their roughly 153,000 plant employees represented by the UAW to voluntarily submit their Covid-19 vaccination status.

https://t.co/gy7QnWbN1c",[],2021-11-23 23:49:50+00:00
National Newswatch,,Alberta to begin taking COVID-19 vaccination bookings Wednesday for ages 5 to 11 | National Newswatch https://t.co/xavNIIKWS1,[],2021-11-23 23:49:14+00:00
The St. Catharines Standard,"ÜT: 43.194969,-79.547057","COVID-19 vaccination data was used to send spam text messages, OPP say https://t.co/jfZfDIcyH6 via @StCatStandard",[],2021-11-23 23:48:54+00:00
"Patricia Farrell, Ph.D.",United States,"As vaccination efforts falter, the U.S. must get serious about Covid-19 testing and reporting https://t.co/AHCPwxNiFJ via @statnews",[],2021-11-24 23:59:32+00:00
Jacob J,,"@LucBerthold @PierrePoilievre @JustinTrudeau #ℂℂℙ𝕧𝕚𝕣𝕦𝕤  #ℂℂℙ≠ℂℍ𝕀ℕ𝔸 #ℂℂℙ≠ℂℍ𝕀ℕ𝔼𝕊𝔼 
https://t.co/SlZATE9qEv","[{'text': 'ℂℂℙ𝕧𝕚𝕣𝕦𝕤', 'indices': [45, 54]}, {'text': 'ℂℂℙ', 'indices': [56, 60]}, {'text': 'ℂℂℙ', 'indices': [67, 71]}]",2021-11-24 23:58:42+00:00
Gautam Goswami,Australia,"@willowzend Stress blood? What?? This is ridiculous!!

Inflammation of right side - Normal? How?

Did they do a Troponin check?

Page 8 of the document below. Please share this with your Best friend and ask the Doctor to follow all the steps.

https://t.co/3p2xnAsQdg",[],2021-11-24 23:56:48+00:00
Jacob J,,"@PierrePoilievre @AndrewScheer #ℂℂℙ𝕧𝕚𝕣𝕦𝕤  #ℂℂℙ≠ℂℍ𝕀ℕ𝔸 #ℂℂℙ≠ℂℍ𝕀ℕ𝔼𝕊𝔼 
https://t.co/SlZATE9qEv","[{'text': 'ℂℂℙ𝕧𝕚𝕣𝕦𝕤', 'indices': [31, 40]}, {'text': 'ℂℂℙ', 'indices': [42, 46]}, {'text': 'ℂℂℙ', 'indices': [53, 57]}]",2021-11-24 23:54:35+00:00
Indian Bureaucracy,"Gurgaon, India",COVID-19 Vaccination Update - Day 312 - https://t.co/IQhEbuzMxs https://t.co/bSIPB60brN,[],2021-11-24 23:53:22+00:00
janagatien,"Salt Spring Island, BC",I voted for No - Do you think Ontario should have a COVID-19 vaccination passport system?  https://t.co/lgvMaaOVkd,[],2021-11-24 23:52:39+00:00
bòB Ruðís,Forever in Ísland,"Source (link was way too big to include in the chart) https://t.co/LloFcKP4lf

Why doth not the White House have a datavis person?

This administration &amp; House/Senate (D)s are criminally terrible at crafting compelling narratives.",[],2021-11-24 23:52:20+00:00
jock dandy,,"@camerondickqld Vic at 90% double vaxxed.  Don't let it in.
https://t.co/q7VMBFJp0B",[],2021-11-24 23:52:19+00:00
ARCHANGEL .:. ABXURI3L33,COURT JEST3R OF GOTH ROCK ,"@JohnTory @SickKidsNews @ONThealth @TOPublicHealth @epdevilla @cityoftoronto @celliottability @joe_cressy child genocidists 
https://t.co/zyQV0rzpUk https://t.co/y8wVKEgWCr",[],2021-11-24 23:52:13+00:00
"Carrie Byington, MD, FAAP, FIDSA😷💉","Oakland, CA","As vaccination efforts falter, the U.S. must get serious about Covid-19 testing and reporting 

https://t.co/1KkCMHKwJ3 via @statnews",[],2021-11-24 23:51:39+00:00
jock dandy,,"@AnnastaciaMP Vic at 90% double vaxxed.  Don't let it in.
https://t.co/q7VMBFJp0B",[],2021-11-24 23:50:52+00:00
Chandu Lal,,"Covid-19 vaccination

via NaMo App",[],2021-11-24 23:50:49+00:00
Tracy martens #standwithmax#VOTEPPC,"Manitoba, Canada","Is there a lawyer in manitoba willing to fight this? and were is @CandiceBergenMP been very silent about this tyrannical measures 
https://t.co/OOKkLejX9t",[],2021-11-24 23:50:38+00:00
Jacob J,,"@SpencerFernando #ℂℂℙ𝕧𝕚𝕣𝕦𝕤  #ℂℂℙ≠ℂℍ𝕀ℕ𝔸 #ℂℂℙ≠ℂℍ𝕀ℕ𝔼𝕊𝔼 
https://t.co/SlZATE9qEv","[{'text': 'ℂℂℙ𝕧𝕚𝕣𝕦𝕤', 'indices': [17, 26]}, {'text': 'ℂℂℙ', 'indices': [28, 32]}, {'text': 'ℂℂℙ', 'indices': [39, 43]}]",2021-11-24 23:49:13+00:00
Me Nombre,,"@Stephen61757619 @Rodneym79 @chrisgailus Literally from@the link you posted What are the implications for public health practice?
Implementing evidence-based COVID-19 prevention strategies, including vaccination before or during pregnancy, is critical to reduce the impact of COVID-19 on stillbirths.",[],2021-11-24 23:46:06+00:00
DemocraticTintype,Middle America,"@WHCOS You are forgetting the biggest thing of all, American lives are being saved through vaccination. We are alive and defeating COVID-19!",[],2021-11-24 23:45:43+00:00
Suriya Subramanian,"London, UK",Official: Allegheny County's COVID-19 numbers 'not expected to improve soon' | Pittsburgh ...: “This thorough review of Pennsylvania's vaccine data will ultimately lead to improved COVID-19 vaccination data quality.”. https://t.co/4Ys5ZS0wKZ,[],2021-11-24 23:44:02+00:00
.Thoughts.,"Kingston,  Jamaica","@IgnoringNita ""Gov’t To Introduce Digital COVID-19 Vaccination Card – Jamaica Information Service"" https://t.co/VYTrscO7Up",[],2021-11-24 23:43:42+00:00
Unite against COVID-19,New Zealand,"@MelBaker16 Kia ora, you can find this information here: https://t.co/WNeLo5DvL4",[],2021-11-24 23:43:24+00:00
Fred Smith 😉,Everywhere SA,"@KvKlausenburg 
Hi Karl, I stumbled on this. 

STOCKHOLM: Starting from December 1, people across Sweden will be required to show proof of vaccination to attend large indoor events with 100 people or more as part of the government's efforts to stop the further spread of Covid-19.",[],2021-11-24 23:41:38+00:00
Heal the Planet ✌✌🎸🎸,Fort Worth,"Ninety-two percent of federal government employees have received at least one COVID-19 vaccination dose as of Tuesday. Also, 4.5% have been granted waivers.  Making 96.5% in compliance with vaccine mandates.

But that 3.5% of troublemakers are getting 99.5% of all the headlines.",[],2021-11-24 23:41:08+00:00
Stuart Heiser,"Washington, DC","""As vaccination efforts falter, the U.S. must get serious about Covid-19 testing and reporting"" - column in @STATnews by @AAMCtoday's @AtulGroverMD and @HeatherHPierce. https://t.co/OKWmVv88UY",[],2021-11-24 23:37:50+00:00
Emily Pember,"Lubbock, TX","“They're doing so despite evidence that vaccination can cut the risk of COVID-19 even for survivors of the disease, and the fact that there's no easy way to measure the protection offered by a prior infection.” https://t.co/wsEoc59QFC",[],2021-11-24 23:37:12+00:00
Dave Cournoyer,"Edmonton, Canada / Treaty 6 Territory","A little late with this but booking my kid’s COVID-19 vaccination appointment this morning was followed by a huge sense of relief. I think I speak for a lot of parents when I say that it’s been a long, long 20 months.",[],2021-11-24 23:36:17+00:00
Roberto de Pinho #vivaosus,,"Share of Population Vaccinated against Covid-19 by country

Data: @OurWorldInData

#rstats (2/2)

Info on estimates &amp; online dashboards: https://t.co/2TcIAe6cfe https://t.co/rbNJXzfmzU","[{'text': 'rstats', 'indices': [83, 90]}]",2021-11-24 23:35:25+00:00
Dr Kevin Purcell 🇬🇧🇮🇪🇺🇸 😷💉💉💉,"Seattle, WA, USA (mostly)","“Europe must consider mandatory Covid-19 vaccinations, says WHO official”

I wonder if perhaps age-based mandates might be more useful?

Requiring the over 60s (or over 50s) to get vaccinated due to the outcome and impact on healthcare services?

Mandatory &lt;18yo vaccination? https://t.co/4etAYfTFjZ",[],2021-11-24 23:35:17+00:00
Jin Russell,"Auckland, New Zealand","@edamoned I’m not sure @edamoned, perhaps look at the Book My Vaccine website and call up one of the drive through or walk in centres when your time comes? https://t.co/OE7KPlqObu",[],2021-11-25 23:57:48+00:00
Rui Lourenço,"Loulé, Portugal","Estimated number of deaths directly averted in people 60 years and older as a result of COVID-19 vaccination in the WHO European Region, December 2020 to November 2021 
https://t.co/utPIwkC9mn",[],2021-11-25 23:57:45+00:00
Will44,,"When the faith, the family, gender &amp; the nation are eliminated, what remains to be eliminate?
You are the target, you're the carbon oxide and the virus.
Trust the jabs
#Climate #virus #Covid #Covid_19 #mRNA #vaccination #lockdown #GretaThunberg @RWMaloneMD #RobertMalone #WHO #UN","[{'text': 'Climate', 'indices': [172, 180]}, {'text': 'virus', 'indices': [181, 187]}, {'text': 'Covid', 'indices': [188, 194]}, {'text': 'Covid_19', 'indices': [195, 204]}, {'text': 'mRNA', 'indices': [205, 210]}, {'text': 'vaccination', 'indices': [211, 223]}, {'text': 'lockdown', 'indices': [224, 233]}, {'text': 'GretaThunberg', 'indices': [234, 248]}, {'text': 'RobertMalone', 'indices': [261, 274]}, {'text': 'WHO', 'indices': [275, 279]}, {'text': 'UN', 'indices': [280, 283]}]",2021-11-25 23:56:43+00:00
Dennis Kendel,Saskatoon,COVID-19: Parents not granted special leave under Sask. legislation to get children vaccinated  | https://t.co/WL6g5WgPIW https://t.co/Wj7Tb4NWRK,[],2021-11-25 23:55:59+00:00
Vaccine Choice Canada,Canada,University of Otago's Emeritus Professor Warren Tate says he is aware of serious reactions triggered by the Pfizer vaccine in several people who have the condition. #CdnPoli #NoMandates #vaccine #covid19 https://t.co/jujnK5qrlr,"[{'text': 'CdnPoli', 'indices': [165, 173]}, {'text': 'NoMandates', 'indices': [174, 185]}, {'text': 'vaccine', 'indices': [186, 194]}, {'text': 'covid19', 'indices': [195, 203]}]",2021-11-25 23:54:48+00:00
(Italian) Bamboo cryptologist,Ohio,"@CharlieOh16 @BillKristol unvaccinated Americans are #Republicans
https://t.co/Oo27t5Maak","[{'text': 'Republicans', 'indices': [53, 65]}]",2021-11-25 23:54:25+00:00
Duncan Bew,"London, England","If we are to really protect our population against COVID-19 there needs to be an equity of access to vaccination across the whole world, not just in the UK 
#VaccinesSaveLives 
#SouthAfrica #COVID19","[{'text': 'VaccinesSaveLives', 'indices': [157, 175]}, {'text': 'SouthAfrica', 'indices': [177, 189]}, {'text': 'COVID19', 'indices': [190, 198]}]",2021-11-25 23:53:58+00:00
Joanne Gregory,,"@billbowtell It’s so funny how you’re trying to get an anti-NSW angle out of this.

But why don’t you call out the QLD and WA gov’s for failing to vaccinate indigenous communities fast enough?

https://t.co/6oovROR7FJ https://t.co/iIb745VMiJ",[],2021-11-25 23:52:32+00:00
ABC Adelaide,"Adelaide, South Australia","🎧 Prime Minister @ScottMorrisonMP tells @ali__clarke he's doing enough to stop fellow Liberal MPs sharing COVID-19 misinformation. 

https://t.co/iWtrGHOkuI",[],2021-11-25 23:51:56+00:00
monygrl,,"Kotaku: Cloud Strife Voice Actor Fired From Soap Opera For Refusing Covid-19 Vaccination.
https://t.co/vgu4CWXA01",[],2021-11-25 23:49:19+00:00
Rosie 🎄🦌⛄,Aotearoa,NSW government updates roadmap for easing of COVID-19 restrictions after state reaches 95pc double dose vaccination target https://t.co/cqJSGQnfSi via @ABCaustralia,[],2021-11-25 23:49:08+00:00
Silent River 58,"England, United Kingdom","Hospitals and other healthcare facilities must mandate COVID-19 vaccination among employees or risk losing Medicare and Medicaid funding, CMS said Thursday. Employees must be fully vaccinated by Jan. 4.

https://t.co/LCdPKQDqtY",[],2021-11-25 23:48:30+00:00
Global National,Watch online,COVID-19: Parents not granted special leave under Sask. legislation to get children vaccinated https://t.co/PJ1lDj0nj8 https://t.co/TXXGBpPwys,[],2021-11-25 23:46:03+00:00
Global Saskatoon,"Saskatoon, SK","A government spokesperson clarified Thursday that a policy allowing employees time off to get vaccinated does not apply to parents bringing their children to appointments at this time. 
https://t.co/w3T8QOBSmB",[],2021-11-25 23:44:28+00:00
Global Regina,"Regina, SK Canada","A government spokesperson clarified Thursday that a policy allowing employees paid time off to get vaccinated does not apply to parents bringing their children to appointments at this time. 
https://t.co/TkmCp6gdYv",[],2021-11-25 23:44:22+00:00
Cabin Radio,"Yellowknife, NT","Proof of Covid-19 vaccination will be required at Yellowknife's library, pool, fieldhouse, and City Hall – but not the multiplex – from Monday. https://t.co/C64gqHd7Gj",[],2021-11-25 23:43:34+00:00
thewhowhatwhy,,"@markbelmares @KonstantinKisin I don't understand what you are trying to fish for, the data is clear lol. https://t.co/csDprtNb63

https://t.co/TY7M398s88

https://t.co/Ld5d7B0ViZ

you can keep googling and find countless other articles and data",[],2021-11-25 23:42:48+00:00
Brent Toderian,"Vancouver, British Columbia","“The owner of one of Canada’s largest ice cream producers says an online campaign to boycott his company for its workplace COVID-19 vaccination policy has backfired and has led to renewed interest and support for the brand.”

I bought some. #Chapmans https://t.co/9q44U1OuQm","[{'text': 'Chapmans', 'indices': [241, 250]}]",2021-11-25 23:42:45+00:00
Temba B. Hove,"Washington, DC",Logistics rather than supply delays Africa's COVID-19 vaccination campaign - https://t.co/mq2rdU76mN,[],2021-11-25 23:40:39+00:00
Dr. Lynora Saxinger 🇨🇦 *answers DM not mentions,University of Alberta Edmonton,"Vaccination of kids: how is COVID-19 like chickenpox?
1) We vaccinate kids against chickenpox since about 2000.  Prior to that, by age 15, 89% of kids got it (93% of adults). The R0 of chickenpox (VZV) is the same as Delta. These infections find you.
https://t.co/tNZP4FMnj8
1/",[],2021-11-25 23:40:17+00:00
alexli,,"@FCDOGovUK @annietrev With Low Vaccination Rates, Africa's COVID Deaths Remain Far Below Europe &amp; US | ZeroHedge

https://t.co/i66YRVAiWh",[],2021-11-25 23:39:12+00:00
Adam ***** *** #Drożyzna,,"Police in central Poland have detained three nurses accused of taking money for issuing over 100 EU vaccination certificates to people who had not been vaccinated against coronavirus.

#Poland #COVID19 #Covid_19 #vaccines
https://t.co/68DD7HNZ02","[{'text': 'Poland', 'indices': [185, 192]}, {'text': 'COVID19', 'indices': [193, 201]}, {'text': 'Covid_19', 'indices': [202, 211]}, {'text': 'vaccines', 'indices': [212, 221]}]",2021-11-25 23:39:00+00:00
Goat of God,Australia,"Money-grubbing, murdering swine.

""COVID-19: WHO Says Countries Should Have ‘Healthy Debate’ About Mandatory Vaccination""

https://t.co/HtA2zjfuqL",[],2021-11-25 23:38:57+00:00
Rupert M,,"@Kazberro @PoochLansbury @gavlar87 @Mikenotsoyeadon We can all play journal tennis. My issue is that you are so forthright that your opinion is right that is dangerous

https://t.co/Nr84VwUgiq",[],2021-11-25 23:38:02+00:00
WAtoday,Perth,"More than 275 days into Australia’s COVID-19 vaccination rollout, 365,000 West Australians over the age of 12 are yet to get the jab as the state’s vaccine pace begins to drop off. #wanews #Perthnews #COVID19WA 
https://t.co/y1VxdNG8Tr","[{'text': 'wanews', 'indices': [181, 188]}, {'text': 'Perthnews', 'indices': [189, 199]}, {'text': 'COVID19WA', 'indices': [200, 210]}]",2021-11-25 23:37:24+00:00
Roberto de Pinho #vivaosus,,"Share of Population Vaccinated against Covid-19 by country

Data: @OurWorldInData

#rstats (2/2)

Info on estimates &amp; online dashboards: https://t.co/2TcIAe6cfe https://t.co/mhKe4KG2xv","[{'text': 'rstats', 'indices': [83, 90]}]",2021-11-25 23:35:57+00:00
Goat of God,Australia,"“Source of treatment: COVID-19 vaccine statistics from the Department of Disease Control, Ministry of Health and Welfare, Taiwan Archived file The death rate associated with the Covid virus has increased sharply after the introduction of vaccination. The first confirmed case of",[],2021-11-25 23:35:31+00:00
Goat of God,Australia,"In other words, the number of deaths after the vaccination was lower than expected.”
“Notification of adverse events after COVID-19 vaccination”
(First chart)

“Source of treatment: Notification of adverse events after COVID-19 vaccination, Department of Disease Control,",[],2021-11-25 23:34:22+00:00
Stuff,New Zealand,Covid-19 live: Vaccination and community case numbers to be released https://t.co/nBSDDB0Fby,[],2021-11-25 23:34:13+00:00
Roberto de Pinho #vivaosus,,"Share of Population Vaccinated against Covid-19 by country

Data: @OurWorldInData

#rstats (1/2)

Info on estimates &amp; online dashboards: https://t.co/2TcIAe6cfe https://t.co/PGWExNptd3","[{'text': 'rstats', 'indices': [83, 90]}]",2021-11-25 23:33:56+00:00
Goat of God,Australia,"Taiwan's new crown pneumonia vaccination pandemic: the number of deaths has risen significantly after vaccination has been launched

BY THE EXPOSÉ ON NOVEMBER 23, 2021

“On November 23, Taiwan’s Central Epidemic Command Center announced 7 new confirmed cases of COVID-19.",[],2021-11-25 23:33:42+00:00
Western North Carolina Politics,Western North Carolina,"Madison Cawthorn | co-sponsor | H.J.Res. 65 Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to ""COVID-19 Vaccination and Testing Emergency Temporary Standard""
https://t.co/OIBeLXQHO7",[],2021-11-25 23:33:00+00:00
UnityPrime,Everywhere,"Nothing to see here… 💉👀💩
#COVID #RealityCheck

https://t.co/jyzl18FUas https://t.co/lMHV4KV8Zi","[{'text': 'COVID', 'indices': [25, 31]}, {'text': 'RealityCheck', 'indices': [32, 45]}]",2021-11-25 23:31:45+00:00
ABC Live India,India,"The Day 315 COVID-19 Vaccination Report of India || ABC Live India https://t.co/AA1hjT0ER2 @PMOIndia
@POTUS
@KremlinRussia_E
@JPN_PMO
@CanadianPM
@ScottMorrisonMP
@WHCOVIDResponse
@drawat123
#COVID19 
@abclive
@COVID19Tracking
@OfficeOf_MM
 #Covid_19 #covid","[{'text': 'COVID19', 'indices': [191, 199]}, {'text': 'Covid_19', 'indices': [241, 250]}, {'text': 'covid', 'indices': [251, 257]}]",2021-11-26 23:59:07+00:00
Richard D. Dudley,Japan,Children are much more likely to die from Covid-19 than vaccination - Full Fact https://t.co/bEv7WtaQ04 via @GoogleNews,[],2021-11-26 23:58:47+00:00
John Kee,,"The World Economic Forum wanted to put a stop to rumors of ineffective COVID-19 vaccinations &amp; didn't want Africa to turn into North Korea, which has 0% COVID-19 vaccination &amp; no COVID-19. https://t.co/I7MSfP9I43 https://t.co/mn3LnsmE2t",[],2021-11-26 23:57:56+00:00
Colombo Red Cross Armed Forces 💉Booster,IL ,"Myocarditis and Pericarditis After Vaccination for COVID-19 
#Covid19Variants #Covid19Vaccines 
#Covid19VaccinesWork 
https://t.co/jDyKPtsPH3 via @JAMA_current part of @JAMANetwork","[{'text': 'Covid19Variants', 'indices': [61, 77]}, {'text': 'Covid19Vaccines', 'indices': [78, 94]}, {'text': 'Covid19VaccinesWork', 'indices': [96, 116]}]",2021-11-26 23:57:41+00:00
espencer,,"@SteveOweathaguy Bad news

https://t.co/eELC5xNouq",[],2021-11-26 23:57:23+00:00
torsitch 🇺🇸,"Denver, CO","Does anyone realize the implications of a massive 'booster' &amp; 'vaccination of children' campaign,

Immediately before a 'vaccine-resistant' Omicron strain is rolled out?

Plus being more likely to contract Covid-19 in the first 2 weeks after a jab?

Antibody-Mediated Enhancement.",[],2021-11-26 23:57:07+00:00
Toronto Police Operations,"Toronto, Ont, Canada",Toronto Police Officers will be patrolling near COVID-19 vaccination sites as Toronto kids and their families attend appointments over the coming days.Their safety is of utmost importance and interference or obstruction will not be tolerated. Charges will be laid if warranted.,[],2021-11-26 23:56:29+00:00
ACT Health,"Canberra, Australia","COVID-19 vaccinations in the ACT: 97.6% of 12+ fully vaccinated. Note: vaccination data from 26 November. Next update on 29 November.

More information at https://t.co/2rCcWDk4wl",[],2021-11-26 23:50:06+00:00
Deborah,California,@jiu99jiu9 @tweettruth2me I think you are confused or you think something is wrong with the vaccination process if we need boosters. Boosters have been part of medical science for decades. It does look like after this 3rd dose of COVID-19 vaccine you get a really robust response. Follow the science.,[],2021-11-26 23:45:44+00:00
Cliona Davitt,,"Yeah most young people took the covid 19 vaccination cause they thought they could head to electric picnic. Then that got canceled by Tony Holohan I say, immediately afters, him thinking he’s a genius to con the young into buying his vax. They not going to be conned again. #news","[{'text': 'news', 'indices': [274, 279]}]",2021-11-26 23:43:45+00:00
Andy Vermaut,"Diksmuide, België",France has postponed implementing a COVID-19 vaccination mandate for health workers in Martinique and Guadeloupe after the measure spurred widespread protests on the French territories in which police officers were injured and journalists attacked https://t.co/Bp32vqkOwn https://t.co/ReQKxLzvyj,[],2021-11-26 23:43:09+00:00
City of West Torrens,"Adelaide, South Australia","Council, SA Health and the Women’s and Children’s Hospital Local Health Network are providing pop-up COVID-19 vaccination clinics at Thebarton Community Centre next week.

Walk-ins are welcome and you can receive either your first or second dose. Visit https://t.co/0QLrVpKBYV https://t.co/8u3bonHHb7",[],2021-11-26 23:40:01+00:00
Pablo Sáenz San Juan,"San Sebastián, España","More than 4.25 billion people worldwide have have received one dose of Covid-19 vaccine (55.4% of world population). Well, Africa has the slowest vaccination rate of any continent (10.3%). Congo is the last country in the list with 0.1%. 
https://t.co/JpHDU5g6Z1",[],2021-11-27 23:58:10+00:00
Ceelos-511,,"@TropicaliJaye Stop spreading fear like a typical vaccine Karen, the reported people who tested positive for this Omicron strain were vaccinated and not from South Africa. SA has low Covid-19 cases and low vaccination https://t.co/RUX5c9HqiW",[],2021-11-27 23:58:03+00:00
"Jason Lay MBA, MEd",,"@OttawaDaddy @Anniekidder @KarenLeis3 @kraekerc @JacquieAMiller @lauramccoy01 @berylrcohen @danrosenbergnet @CooganatWindrun @DaddabboM @mariann6668 @josanchez65 @jhengstler @ESL_fairy @TLMarkides @mrfusco @mkbtuc @jdouglaslittle @BonitaEdu @the_dramamama @ZackTeitel @JBradshaw01 @BBFarhadi @PowerLrn @DrLauraPinto @munakadri @JCasaTodd @RamonaMeharg @rolandvo @heidi_allum @sarahsanders33 @CoachJCummings @CarolCampbell4 @Educhatter @Stephen_Hurley @BallantyneCW @aegrant100 @realJ_Mitchell @bizEducator @kayuoit @liberal_party @jm_mcgrath @fordnation @Sflecce @acampbell99 @OntarioPCParty @AndreaGrebenc @pfizer @carlyweeks ""In Alberta, there's been a lot of diminishing of the seriousness of COVID in children when the reality is that COVID infection itself can have much more severe consequences - both in the short and long term - than the vaccination itself."" @TehseenLadha
https://t.co/0X7SyEz1EE",[],2021-11-27 23:57:37+00:00
Kylie Edmondson 🗳🌏❤️,Wangaratta Victoria Australia,"@rachnewport @DrMukeshH @ScottMorrisonMP @PharmGuildAus @RACGP Not according to the Fed Govt website - I wish this press conference was about this &amp; not some stupid online laws - priorities 😳 

https://t.co/5pLYQyk43a https://t.co/BApvXlysOe",[],2021-11-27 23:55:29+00:00
