username,location,text,tweet_date,hashtags_extracted,text_cleaned,loc_country
VOYCE,"St. Louis, MO","Long-term care facilities may be forced to temporarily close due to staffing shortages caused by low COVID-19 vaccination rates. The Department of Health and Senior Services released an emergency amendment to their licensure to address this concern.
Read: https://t.co/NVJJTRuRWe https://t.co/28Gp0XyiBx",2021-11-24 19:30:00+00:00,,longterm care facil may forc temporarili close due staf shortag caus low covid19 vaccin rate depart health senior servic releas emerg amend licensur address concern read,United States
The_God_Dr_Oden,The OC,"@JoyHenningsenMD May you and your vaccinated family be blessed with much Covid-19 this holiday season. Because as a MD, you know that a vaccine that doesn't vaccinate you against the the thing the vaccination is for... isn't a vaccine.",2021-11-24 19:26:57+00:00,,joyhenningsenmd may vaccin famili bless much covid19 holiday season md know vaccin doesnt vaccin thing vaccin isnt vaccin,United States
HBI-DC,"Washington, D.C.","Parents and Caregivers: CDC recommends that all children ages 5 and up get vaccinated against #COVID19. Vaccination is an important tool to help stop this pandemic. 

Learn more about COVID-19 vaccination for kids: https://t.co/wjqBYOcFD8.

#COVID19Vaccines #VaccinesBringUsCloser https://t.co/eGqRzHzdNQ",2021-11-24 19:25:19+00:00,"covid19,covid19vaccines,vaccinesbringuscloser",parent caregiv cdc recommend child age get vaccin covid19 vaccin import tool help stop pandem learn covid19 vaccin kid covid19vaccin vaccinesbringusclos,United States
Grant Schott,Oregon,See Every Major Agency's COVID-19 Vaccination Rates https://t.co/vhMAuSnyjd via @GovExec,2021-11-24 19:25:15+00:00,,see everi major agenc covid19 vaccin rate via govexec,United States
David Morantz,Kansas City,"“There could be a bill designed to block businesses from sanctioning workers who take time off the job to get a COVID-19 vaccination.”
Let that sink in. #ksleg conservatives might try to forbid businesses from giving paid time off for getting vaccinated. https://t.co/SAnHuv9Z2K",2021-11-24 19:21:59+00:00,ksleg,could bill design block busi sanction worker take time job get covid19 vaccin let sink ksleg conserv might tri forbid busi give paid time get vaccin,United States
WA House Democrats,"Olympia, WA","Thanks to vaccines, Thanksgiving 2021 is closer to normal; Washington launches QR codes to verify COVID-19 vaccination; Whatcom County flood losses could reach $50 million from last week’s atmospheric river - Today's Daily E-Clips 
https://t.co/QpEjvPCmiO #waleg",2021-11-24 19:19:00+00:00,waleg,thank vaccin thanksgiv closer normal washington launch qr code verifi covid19 vaccin whatcom counti flood loss could reach million last week atmospher river today daili eclip waleg,United States
CT Senate Democrats,"Hartford, CT","COURANT: COVID-19 vaccination rates among Connecticut school teachers and staff are high. Look up your school district here.
https://t.co/UdTABJVq8V",2021-11-24 19:17:19+00:00,,courant covid19 vaccin rate among connecticut school teacher staff high look school district,United States
Betsi Cadwaladr,North Wales,"COVID-19 Vaccination update 

Our teams have now administered more than 1,230,000 COVID-19 vaccines, including 164,338 booster jabs.
As of today, 69 per cent of those eligible have received their booster

Full update here: https://t.co/pv2tJ1gGo4 https://t.co/DtQCkqrAO1",2021-11-24 19:16:31+00:00,,covid19 vaccin updat team administ covid19 vaccin includ booster jab today per cent elig receiv booster full updat,United States
HFRCC,"Flint, MI","Come out for a drive-thru COVID-19  &amp; Flu Vaccination Event on Friday December 10, 2021 3:30pm-5:30pm at @GeneseeHealth on Linden Rd! https://t.co/GQSmx3RAdI",2021-11-24 19:15:28+00:00,,come drivethru covid19 amp flu vaccin event friday decemb 330pm530pm geneseehealth linden rd,United States
Garrett Brinton,"Vermont, USA","@ClaudeLabrouste @ariehkovler No need to apologize, you're under no obligation to ""debate"" the fact that the overwhelming preponderance of evidence and expert opinion indicates that vaccination does substantially reduce the spread of Covid-19.",2021-11-24 19:10:25+00:00,,claudelabroust ariehkovl need apolog your oblig debat fact overwhelm preponder evid expert opinion indic vaccin substanti reduc spread covid19,United States
National Academies,"Washington, DC","Communication is key for encouraging vaccination among children and youth as well as those who are vaccine hesitant. Learn strategies for talking to those considering vaccinating their children or themselves at @NASEM_DBASSE's webinar on Nov 30.

Register: https://t.co/Wx6GQwd5T6 https://t.co/WHrFJsDGDn",2021-11-24 19:10:03+00:00,,commun key encourag vaccin among child youth well vaccin hesit learn strategi talk consid vaccin child nasemdbass webinar nov regist,United States
KOLDNews,"Tucson, AZ",‘General Hospital’ fires actor Steve #Burton over #COVID vaccination mandates &gt;&gt; https://t.co/JT1uUpe0Uw https://t.co/BrR0AtkhYI,2021-11-24 19:10:01+00:00,"burton,covid",gener hospit fire actor steve burton covid vaccin mandat gtgt,United States
lushlife808,Remote ,Tech and health companies including Microsoft and Salesforce team up on digital COVID-19 vaccination records https://t.co/hVx79I1Vdp,2021-11-24 19:08:44+00:00,,tech health compani includ microsoft salesforc team digit covid19 vaccin record,United States
Gitte Pedersen,"Boston, MA","US COVID-19 infections rise as Americans prepare for Thanksgiving
#Covid #Hospital #Coronavirus #Thanksgiving #Holidays #Booster #Vaccine #Vaccination
@johnbrownstein @MIHospitalAssoc @ChildrensPhila 
https://t.co/PsodyeVJUC",2021-11-24 19:08:16+00:00,"covid,hospital,coronavirus,thanksgiving,holidays,booster,vaccine,vaccination",u covid19 infect rise american prepar thanksgiv covid hospit coronaviru thanksgiv holiday booster vaccin vaccin johnbrownstein mihospitalassoc childrensphila,United States
Aeolian Elementary School,"11600 Aeolian St, Whittier, CA","In case you missed it: COVID-19 Vaccination Update Town Hall is up on our Facebook and YouTube page! Learn more about the available vaccines by visiting https://t.co/s1OXMJ1Yyw
.
.
#AeolianES #EdChat #Education https://t.co/3iGwAPGG56",2021-11-24 19:08:03+00:00,"aeolianes,edchat,education",case miss covid19 vaccin updat town hall facebook youtub page learn avail vaccin visit aeolian edchat educ,United States
Los Nietos Middle School STEAM Academy,"Whittier, CA. ","In case you missed it: COVID-19 Vaccination Update Town Hall is up on our Facebook and YouTube page! Learn more about the available vaccines by visiting https://t.co/qYpooTinVb
.
.
#LosNietosMS #EdChat #Education https://t.co/RoxYKNhmZc",2021-11-24 19:08:03+00:00,"losnietosms,edchat,education",case miss covid19 vaccin updat town hall facebook youtub page learn avail vaccin visit losnietosm edchat educ,United States
Los Nietos School District,"Whittier, CA. ","In case you missed it: COVID-19 Vaccination Update Town Hall is up on our Facebook and YouTube page! Learn more about the available vaccines by visiting https://t.co/vWHSAXq5bS
.
.
#LosNietosSD #EdChat #Education https://t.co/wPiTYkwEhK",2021-11-24 19:08:03+00:00,"losnietossd,edchat,education",case miss covid19 vaccin updat town hall facebook youtub page learn avail vaccin visit losnietossd edchat educ,United States
Rancho Santa Gertrudes Elementary School,"Santa Fe Springs, CA. ","In case you missed it: COVID-19 Vaccination Update Town Hall is up on our Facebook and YouTube page! Learn more about the available vaccines by visiting https://t.co/6e3g9gABZ9
.
.
#RanchoSGES #EdChat #Education https://t.co/Fltnu33LJl",2021-11-24 19:08:03+00:00,"ranchosges,edchat,education",case miss covid19 vaccin updat town hall facebook youtub page learn avail vaccin visit ranchosg edchat educ,United States
Ada S. Nelson ES,"8140 Vicki Drive Whittier, CA.","In case you missed it: COVID-19 Vaccination Update Town Hall is up on our Facebook and YouTube page! Learn more about the available vaccines by visiting https://t.co/PbsgzyWMeH
.
.
#AdaSNelsonES #EdChat #Education https://t.co/zj2kbRkOMj",2021-11-24 19:08:03+00:00,"adasnelsones,edchat,education",case miss covid19 vaccin updat town hall facebook youtub page learn avail vaccin visit adasnelson edchat educ,United States
BrianEarlSpilner,Earth,"@TurismoRD NO ONE IS COMING!
@luisabinader keeps jerking #investors around. #DominicanRepublic is not safe and investors are nor spending more money!

The Dominican Republic needs more tourists so it no longer requires vaccination proof or anything for that matter. https://t.co/cAEodeV3mG",2021-11-24 19:06:27+00:00,"investors,dominicanrepublic",turismord one come luisabinad keep jerk investor around dominicanrepubl safe investor spend money dominican republ need tourist longer requir vaccin proof anyth matter,United States
Better Business Planning,"Itasca, IL","Federal Court Blocks OSHA COVID-19 Vaccination and Testing ETS

#BBP60143 #SavvySmallBiz
https://t.co/P3ubgZMWqw https://t.co/Nri3CBrTQI",2021-11-24 19:01:34+00:00,"bbp60143,savvysmallbiz",feder court block osha covid19 vaccin test et bbp60143 savvysmallbiz,United States
The Daily Illini,"Champaign-Urbana, Ill.","Since Nov.16, the Krannert Center for Performing Arts has begun asking that all audience members show proof of vaccination or that they have a recent negative COVID-19 test. 
https://t.co/mCfJj6uuQb",2021-11-24 19:00:26+00:00,,sinc nov16 krannert center perform art begun ask audienc member show proof vaccin recent neg covid19 test,United States
Denver Health,"Denver, CO-USA","Walk, bike or ride to our Mobile Health Center today, Nov. 24, at Cook Park Rec Center, 7100 Cherry Creek S. Dr., 3-7 p.m. Free COVID-19 vaccine and boosters available! No appt. necessary and walk-ups are welcome. See flyer for details. Full schedule at https://t.co/uJJbjIjjs1. https://t.co/jwZHa37WeQ",2021-11-24 19:00:22+00:00,,walk bike ride mobil health center today nov cook park rec center cherri creek dr pm free covid19 vaccin booster avail appt necessari walkup welcom see flyer detail full schedul,United States
Berryessa Union,"San Jose, CA","Getting vaccinated against COVID-19 is critical to the safety of our community! Here is a list of vaccination opportunities in Santa Clara County this week. 

#PathwaytotheFuture #GetVaccinated https://t.co/SdCUS7F924",2021-11-24 19:00:00+00:00,"pathwaytothefuture,getvaccinated",get vaccin covid19 critic safeti commun list vaccin opportun santa clara counti week pathwaytothefutur getvaccin,United States
NJ Senate Democrats,"Trenton, NJ","As of December 1st, 2021, all State House visitors will be required to present a photo ID and either proof of full vaccination against COVID-19 or a negative COVID-19 test. Guests will continue to be required to wear a mask during their visit. https://t.co/qS220hTbb0",2021-11-24 18:56:14+00:00,,decemb 1st state hous visitor requir present photo id either proof full vaccin covid19 neg covid19 test guest continu requir wear mask visit,United States
Garfunkel Wild,"New York, USA","Florida Bill Passed Regarding COVID-19 Vaccine Mandates. On Nov 18th, 2021 Florida passed House Bill 1B, prohibiting private employers from mandating COVID-19 vaccination without providing employees the ability to opt out of the mandate. https://t.co/oYQFLbvKip

 #VaccineMandates https://t.co/06vp8ww2P4",2021-11-24 18:55:52+00:00,vaccinemandates,florida bill pas regard covid19 vaccin mandat nov 18th florida pas hous bill 1b prohibit privat employ mandat covid19 vaccin without provid employe abil opt mandat vaccinemand,United States
PatsSTH1969,Central Mass.,@RealAlexBarth So what is Ryan Tannehill’s word worth when it comes to the Covid-19 vaccination?Hopefully more than fellow QB Aaron Rogers.,2021-11-24 18:54:49+00:00,,realalexbarth ryan tannehil word worth come covid19 vaccinationhop fellow qb aaron roger,United States
CJCJ,"San Francisco, CA","Within DJJ, COVID-19 cases have more than doubled in the past week. As of November 20th, 19 more youth have tested positive. According to CDCR's vaccination tracker, only 66% of staff are vaccinated and many interact with youth without wearing a mask.

https://t.co/JwDskIrqNf",2021-11-24 18:54:45+00:00,,within djj covid19 case doubl past week novemb 20th youth test posit accord cdcr vaccin tracker staff vaccin mani interact youth without wear mask,United States
NashvilleHealth,Nashville Tennessee,"While it is too late to get the protection of vaccination by tomorrow's holiday, it is a good idea to get vaccinated as soon as possible to reduce the risk of COVID-19 at future gatherings. You can find providers in our community offering vaccines at https://t.co/JwPRRBv3DJ.",2021-11-24 18:53:27+00:00,,late get protect vaccin tomorrow holiday good idea get vaccin soon possibl reduc risk covid19 futur gather find provid commun offer vaccin,United States
The University of Kansas Health System,"Kansas City, KS","If you choose to gather with friends and family during the holiday season, in addition to vaccination against COVID-19, we encourage you to remember the pillars of infection prevention and control: https://t.co/Zv155YC04T",2021-11-24 18:53:01+00:00,,choos gather friend famili holiday season addit vaccin covid19 encourag rememb pillar infect prevent control,United States
EMOesque,"Olympia, WA","@RubyCreek @TMobilePark @Mariners Hey William, I just saw this on the tickets I bought today COVID-19 Protocol: Per the current State Mandate, proof of vaccination OR negative test within 24 – 72hrs. (photo and digital copies will be accepted) are required. Masks are required for all shows per the State Mandate.",2021-11-24 18:52:03+00:00,,rubycreek tmobilepark marin hey william saw ticket bought today covid19 protocol per current state mandat proof vaccin neg test within 72hr photo digit copi accept requir mask requir show per state mandat,United States
Gary  Buckley™,Earth,"Slovakia followed the example of neighbouring Austria on Wednesday and ordered a two-week lockdown to quell the world's fastest rise in COVID-19 cases as the number of people sick in hospital reached a critical level and vaccination levels remain low.
https://t.co/NcBMPLQAWq",2021-11-24 18:41:26+00:00,,slovakia follow exampl neighbour austria wednesday order twoweek lockdown quell world fastest rise covid19 case number peopl sick hospit reach critic level vaccin level remain low,United States
LaSalleCountyHealth,"Ottawa, IL","In addition, LaSalle County Health Department offers Pfizer Vaccine for Children on a weekly basis, by appointment only. To schedule an appointment for a child vaccination please visit our website https://t.co/A2UBSHiNta and click on the “COVID-19 Vaccine Information” icon.",2021-11-24 18:36:04+00:00,,addit lasal counti health depart offer pfizer vaccin child weekli basi appoint schedul appoint child vaccin plea visit websit click covid19 vaccin inform icon,United States
Bill Flood,"Portland, CT",Connecticut's public school staff have high COVID-19 vaccination rates https://t.co/suTaxyTGjR,2021-11-24 18:36:01+00:00,,connecticut public school staff high covid19 vaccin rate,United States
LaSalleCountyHealth,"Ottawa, IL","To schedule an appointment for a booster dose vaccination please visit our website https://t.co/A2UBSHiNta and click on the “COVID-19 Vaccine Information” icon.  There you will find links to schedule an appointment for a booster dose of Moderna, Pfizer, and Johnson &amp; Johnson.",2021-11-24 18:35:25+00:00,,schedul appoint booster dose vaccin plea visit websit click covid19 vaccin inform icon find link schedul appoint booster dose moderna pfizer johnson amp johnson,United States
DoubleTreenewarkca,"Silicon Valley- Newark, Ca","It’s Thanksgiving Eve and Whiskey Pass is here tonight for our first Country Night at Bistro 880!

7 p.m. – 11 p.m.
https://t.co/kINmWW7cAY

Proof of COVID-19 vaccination is required.

#ThanksgivingEve #Entertainment #countrymusic #music #Dancing #bands #Newark #BayArea https://t.co/9maOwGv9EV",2021-11-24 18:35:02+00:00,"thanksgivingeve,entertainment,countrymusic,music,dancing,bands,newark,bayarea",thanksgiv eve whiskey pas tonight first countri night bistro pm pm proof covid19 vaccin requir thanksgivingev entertain countrymus music danc band newark bayarea,United States
Jon Irvin,"San Antonio, TX","@FOXLA Here in Texas, we have no mask mandates, no vaccine mandates, and no businesses can require proof of vaccination. Governor Greg Abbott made protection from Covid-19, a personal responsibility. As it should be. https://t.co/Oivyyv84tM",2021-11-24 18:33:27+00:00,,foxla texa mask mandat vaccin mandat busi requir proof vaccin governor greg abbott made protect covid19 person respons,United States
LaSalleCountyHealth,"Ottawa, IL",Vaccination is one of the most important tools we have available to us.  It has never been easier to get vaccinated for COVID-19. There are many options available in our community. To search for vaccine available near you visit https://t.co/b4RYpX9pLX.,2021-11-24 18:33:11+00:00,,vaccin one import tool avail u never easier get vaccin covid19 mani option avail commun search vaccin avail near visit,United States
Horizon Health Care,South Dakota,"If you have questions or concerns about the COVID-19 vaccine, we're here to help.
For more information: https://t.co/zE6y31Ukrb https://t.co/eNMpIIdNmG",2021-11-24 18:31:00+00:00,,question concern covid19 vaccin help inform,United States
Orange County FL,"Orange County, Florida","Please note our Barnett Park COVID-19 Vaccination &amp; Testing Services in Orlando will be close for Thanksgiving on Thursday &amp; Friday, reopening Saturday 9am. We wish everyone a safe and Happy Thanksgiving. https://t.co/JrMCJaduN6 #vaccine @DohOrange #Thanksgiving https://t.co/7YMewmbkep",2021-11-24 18:30:04+00:00,"vaccine,thanksgiving",plea note barnett park covid19 vaccin amp test servic orlando close thanksgiv thursday amp friday reopen saturday 9am wish everyon safe happi thanksgiv vaccin dohorang thanksgiv,United States
FOX26 News,Fresno,"Longtime soap opera star Steve Burton says he has been fired from ""General Hospital"" after he refused to get the COVID-19 vaccination.

https://t.co/lKu20oUmtC",2021-11-24 18:30:00+00:00,,longtim soap opera star steve burton say fire gener hospit refus get covid19 vaccin,United States
American Standards,"Phoenix, Arizona","If you’re coming to the show tonight, make sure you read @TheRebelPHX COVID-19 Policy.

TL/DR: 
Proof of vaccination (pictures of vaccine cards are accepted) or Negative Test (home tests taken at the venue are accepted)

https://t.co/Cw1475ooGL",2021-11-24 18:26:51+00:00,,your come show tonight make sure read therebelphx covid19 polici tldr proof vaccin pictur vaccin card accept neg test home test taken venu accept,United States
GovExec,"Washington, DC",See Every Major Agency's COVID-19 Vaccination Rates https://t.co/KyZ4bBB8l6 https://t.co/L9dLsy03Uq,2021-11-24 18:18:37+00:00,,see everi major agenc covid19 vaccin rate,United States
ADN America,"Florida, USA","The Biden administration asked a federal appeals court to reinstate its OSHA vaccine mandate. If approved, businesses with 100 employees or more have to ensure full vaccination against Covid-19. https://t.co/bSQJPQOknP",2021-11-24 18:15:22+00:00,,biden administr ask feder appeal court reinstat osha vaccin mandat approv busi employe ensur full vaccin covid19,United States
Jack Scott - Author/Pilot/Broadcaster,Grain Valley Missouri,"Biden administration agency says data shows Covid-19 vaccination data shows mandates work

https://t.co/fdZ2AfAu56",2021-11-24 18:14:43+00:00,,biden administr agenc say data show covid19 vaccin data show mandat work,United States
Dr. Craig Brown,"Houston, TX","DSC Weekly Digest 23 Nov 2021: Moving Towards Digital Identity: This morning, I downloaded an app that puts my vaccination record on my phone, including the two Covid-19 vaccinations I received earlier this year. What… https://t.co/sR0z8KWhtV #DataScience #BigDataAnalytics #AI https://t.co/3ehe3EMbiS",2021-11-24 18:13:35+00:00,"datascience,bigdataanalytics,ai",dsc weekli digest nov move toward digit ident morn download app put vaccin record phone includ two covid19 vaccin receiv earlier year datasci bigdataanalyt ai,United States
Nelson Mullins,USA,Florida Healthcare Alert: The CMS Rule Requiring COVID-19 Vaccination for Healthcare Workers at Odds With Florida’s Recent Legislation by Kristin Ahr &amp; Elizabeth Edmondson. https://t.co/oI9tue9uc8 #Healthcare #Vaccine #Florida https://t.co/9plikG3pkq,2021-11-24 18:12:54+00:00,"healthcare,vaccine,florida",florida healthcar alert cm rule requir covid19 vaccin healthcar worker odd florida recent legisl kristin ahr amp elizabeth edmondson healthcar vaccin florida,United States
Vista Partners LLC,"San Francisco, CA",Mandatory Covid-19 Vaccination Policy Currently Under Review At Disney World https://t.co/YUxLj5p55B https://t.co/1x2QwsWmgq,2021-11-24 18:02:07+00:00,,mandatori covid19 vaccin polici current review disney world,United States
Thinkery,"Austin, Texas",Thank you to everyone who took part in our Kids’ Clinic vaccination event last Sunday. Thinkery is proud to partner with @austinpublichealth to get everyone in our community vaccinated against COVID-19.  Visit https://t.co/gwEzH9d4pC or call 3-1-1 today! https://t.co/TJuAZn63YY,2021-11-24 18:02:03+00:00,,thank everyon took part kid clinic vaccin event last sunday thinkeri proud partner austinpublichealth get everyon commun vaccin covid19 visit call today,United States
Anthony Garcia Albidrez,"BOULDER, Colo.","PHOTO: Hugo Bell, who is six and now eligible for the Covid-19 vaccine, received his first dose from Babette Dente, a registered nurse with Nomi Health, during a vaccine clinic at Boulder Public Library on Sunday, Nov. 21.

Story here: https://t.co/jgbEiKnW0d https://t.co/iIjTwi8bgt",2021-11-24 18:01:22+00:00,,photo hugo bell six elig covid19 vaccin receiv first dose babett dent regist nurs nomi health vaccin clinic boulder public librari sunday nov stori,United States
Voice Reason,San Diego Ca,"@weebsarenthuman @dragonhunt101 @shoe0nhead (3)
on the endothelium and T cell infiltration of cardiac muscle and may account for the observations of increased thrombosis, cardiomyopathy and other vascular events following vaccination.’
That’s it. That’s the death bell for the covid-19 mRNA jabs.”",2021-11-24 18:01:12+00:00,,weebsarenthuman dragonhunt101 shoe0nhead endothelium cell infiltr cardiac muscl may account observ increas thrombosi cardiomyopathi vascular event follow vaccin that that death bell covid19 mrna jab,United States
joshfarley,"Bremerton, WA","Puget Sound Naval Shipyard's covid-19 vaccination rate up to 81%, up from around 50% when President Biden announced a mandate for federal workers.

https://t.co/hFqT6UkUR3",2021-11-24 18:01:00+00:00,,puget sound naval shipyard covid19 vaccin rate around presid biden announc mandat feder worker,United States
Protect the Sacred,Navajo Nation,"Thank you @cheddar for having our founder, Allie Young, speak on why she founded Protect the Sacred in the midst of the COVID-19 pandemic and how she is working to get the Navajo Nation to 100% vaccination! 

Full video: https://t.co/Noa3BUatsx 🧀 https://t.co/xSXMB7rSsk",2021-11-24 18:00:28+00:00,,thank cheddar founder alli young speak found protect sacr midst covid19 pandem work get navajo nation vaccin full video,United States
Samaritan Health,Oregon,"Planning on getting your COVID-19 vaccination or booster at SamCare Express in Albany or Corvallis? Please make an appointment for yourself or your loved one ages 5 and up. Walk-ins for ages 12 and up may be accommodated if it is possible to fit them in, b https://t.co/zHb0o6zZKF",2021-11-24 18:00:18+00:00,,plan get covid19 vaccin booster samcar express albani corval plea make appoint love one age walkin age may accommod possibl fit b,United States
Watchman1,"Washington, DC","How is it that more than 190 governments from all over the world ended up dealing with the COVID-19 pandemic in almost exactly the same manner, with lockdowns, mask mandates, and vaccination cards now being commonplace everywhere? https://t.co/cAxi3FtQdo",2021-11-24 18:00:16+00:00,,govern world end deal covid19 pandem almost exactli manner lockdown mask mandat vaccin card commonplac everywher,United States
Early Edge,California,"Children 5 and up can get the Pfizer-BioNTech COVID-19 vaccine! Vaccination is your child’s best protection against serious illness caused by COVID-19. Talk to your child’s doctor, or visit https://t.co/A00Ib6Rgeu to make an appointment. https://t.co/4EcqwjSCgO",2021-11-24 18:00:11+00:00,,child get pfizerbiontech covid19 vaccin vaccin child best protect seriou ill caus covid19 talk child doctor visit make appoint,United States
Holy City Sinner,"Charleston, SC",City Announces 99.7 Percent Compliance with COVID-19 Vaccination Policy https://t.co/Qf6NtIzjLg #chs,2021-11-24 18:00:02+00:00,chs,citi announc percent complianc covid19 vaccin polici ch,United States
Aurora News-Register,Aurora Nebraska,"MCHI, Westfield faced with vaccine mandate. Keller, Young say hospital and long-term care facility had no choice but to comply with CMS regulation that all employees receive COVID-19 vaccination by Dec. 5. Must-read stories in this week's ANR. https://t.co/IRJ2w5h3mf",2021-11-24 18:00:02+00:00,,mchi westfield face vaccin mandat keller young say hospit longterm care facil choic compli cm regul employe receiv covid19 vaccin dec mustread stori week anr,United States
Mises Institute,"Auburn, Alabama","Africa doesn’t have the vaccines and the resources to fight COVID-19 that they have in Europe and the U.S., but somehow they seem to be doing better. | @ryanmcmaken

https://t.co/Uou6fOaecU",2021-11-24 18:00:01+00:00,,africa doesnt vaccin resourc fight covid19 europ u somehow seem better ryanmcmaken,United States
Newsweek,"New York, NY","Of the states seeing the largest uptick in COVID-19 cases, only two have vaccinated fewer than 70 percent of its adult population. https://t.co/im6tONXnqQ",2021-11-24 17:58:50+00:00,,state see largest uptick covid19 case two vaccin fewer percent adult popul,United States
"Ray Mitchell ( He,Him)",Georgetown University,"As vaccination efforts falter, get serious about Covid-19 testing - STAT thank you ⁦@AtulGroverMD⁩  https://t.co/wjhi4nXH1q",2021-11-24 17:57:38+00:00,,vaccin effort falter get seriou covid19 test stat thank atulgrovermd,United States
MS Dept of Health,Mississippi,"Avoid unpleasant surprises this holiday! Keep your gatherings safe:
• Let your host know your vaccination status.
• If you have symptoms, get a COVID-19 test before you visit.
• Respect those who are older or in poor health by using a mask and social distancing. https://t.co/I0EKTz56qr",2021-11-24 17:57:28+00:00,,avoid unpleas surpris holiday keep gather safe let host know vaccin statu symptom get covid19 test visit respect older poor health use mask social distanc,United States
Northstar Meetings Group,"New York, NY","#NewZealand will reopen to international #tourists in April. All #travelers must have proof of #vaccination, get tested for #COVID19 upon arrival and #quarantine for seven days.
https://t.co/qEeHs6kYyg

#TravelNews #tourism #VaccinePassports",2021-11-24 17:56:41+00:00,"newzealand,tourists,travelers,vaccination,covid19,quarantine,travelnews,tourism,vaccinepassports",newzealand reopen intern tourist april travel must proof vaccin get test covid19 upon arriv quarantin seven day travelnew tourism vaccinepassport,United States
Navajo County,"Holbrook, AZ","To learn more about obtaining COVID-19 vaccinations and booster doses, visit our Navajo County COVID-19 Vaccination Dashboard here:
https://t.co/vzgu87K55G

Read the press release from Arizona Department of Health Services here:
https://t.co/RjQacWEICB https://t.co/biVYSdTm8W",2021-11-24 17:56:36+00:00,,learn obtain covid19 vaccin booster dose visit navajo counti covid19 vaccin dashboard read press releas arizona depart health servic,United States
JAmas,"Los Angeles, CA","Get Your Fake COVID 19 Vaccination card 
Click  on the link below 
👇👇👇👇

https://t.co/klMRtSSzBR https://t.co/BbvnuHNIa3",2021-11-24 17:55:41+00:00,,get fake covid vaccin card click link,United States
Niagara Region,Niagara,"@t_barnes25 @AndrewLawton @NRPublicHealth Hi there, we've updated the page you're referring to about 'school vaccinations' to include info about the COVID-19 vaccination.

For info on the COVID-19 vaccination specifically in relation to children and youth, please visit https://t.co/mjtnlR4tYo.",2021-11-24 17:54:53+00:00,,tbarnes25 andrewlawton nrpublichealth hi weve updat page your refer school vaccin includ info covid19 vaccin info covid19 vaccin specif relat child youth plea visit,United States
Chuck Chalupka,Massachusetts and Minnesota,"Joe Manchin’s West Virginia constituents are not only the dumbest in the nation, they have the lowest vaccination rate.

COVID-19 vaccination rates up in 23 states, down in 27 https://t.co/J3I1bxcb9X",2021-11-24 17:52:21+00:00,,joe manchin west virginia constitu dumbest nation lowest vaccin rate covid19 vaccin rate state,United States
Mr. Nick Beaudrot,"Seattle, WA","New weekly ""outcomes by vaccination status"" just dropped! Breakthrough mortality now down at ""just the flu"". (don't pay _too_ much attention to the unvaccinated case/death rate, apparently there are denominator issues). https://t.co/UAbrl3wJxK https://t.co/MlLtJOWJiq",2021-11-24 17:52:10+00:00,,new weekli outcom vaccin statu drop breakthrough mortal flu dont pay much attent unvaccin casedeath rate appar denomin issu,United States
Niagara Region,Niagara,"@RMrockz @dsbn Hi there, the page you're referring to about 'school vaccinations' has been updated to include this info.

For information on the COVID-19 vaccine specifically though, please visit https://t.co/mjtnlRm5mY",2021-11-24 17:49:16+00:00,,rmrockz dsbn hi page your refer school vaccin updat includ info inform covid19 vaccin specif though plea visit,United States
Justin Hicks,"Indiana, USA","After roughly seven hours of testimony with literally nobody liking the proposed employer COVID-19 vaccination game plan, Indiana Republicans will take a timeout, but still have the game clock and the ball. https://t.co/vjdD3AOcBM",2021-11-24 17:46:56+00:00,,roughli seven hour testimoni liter nobodi like propos employ covid19 vaccin game plan indiana republican take timeout still game clock ball,United States
WNCT,"Greenville, NC","Getting the flu vaccine is easier than ever, especially with the COVID-19 vaccine being administered. See how North Carolina compares to previous years in preparing for and battling the flu. https://t.co/9eVfVi8Czm",2021-11-24 17:45:04+00:00,,get flu vaccin easier ever especi covid19 vaccin administ see north carolina compar previou year prepar battl flu,United States
The Press Democrat,"Sonoma County, CA","Officials in the San Joaquin Valley are expecting a difficult winter. Vaccination rates are still relatively low, and in Fresno County, the COVID-19 hospital rate is more than quintuple that of the San Francisco Bay Area.  https://t.co/AfJyvHHD6E",2021-11-24 17:45:02+00:00,,offici san joaquin valley expect difficult winter vaccin rate still rel low fresno counti covid19 hospit rate quintupl san francisco bay area,United States
Frederick County Health Department,"Frederick, Maryland","Frederick County Health Department COVID-19 testing and vaccination clinics will be closed on Nov. 25 and 26 for the Thanksgiving holiday. 
This includes our testing site at Hillcrest, all community testing and vaccination locations, our Oak Street vaccination site. https://t.co/zmnB7TNNt5",2021-11-24 17:43:04+00:00,,frederick counti health depart covid19 test vaccin clinic close nov thanksgiv holiday includ test site hillcrest commun test vaccin locat oak street vaccin site,United States
LifeCare Assurance,"Woodland Hills, CA","Two exciting new opportunities!
-Accounting Specialist, Financial Reporting
-Senior Accountant, Financial Reporting.
Apply today at: https://t.co/Lr0boD8MQ6
All candidates must show proof of COVID-19 vaccination upon offer given, or become vaccinated after offer is given. https://t.co/gVarGyjlfA",2021-11-24 17:40:35+00:00,,two excit new opportun account specialist financi report senior account financi report appli today candid must show proof covid19 vaccin upon offer given becom vaccin offer given,United States
