,Terms,Frequency
1546,guest,21
2972,regardless,21
336,back,20
523,busi,20
1170,employe,20
2741,plan,20
3997,worker,20
1967,know,19
3940,welcom,19
1786,info,19
664,citi,19
3482,system,19
3899,want,19
3371,staff,19
1474,give,19
732,committe,19
1184,enjoy,19
1011,die,19
1385,found,19
1849,issu,19
300,attend,19
3062,right,19
1175,encourag,18
1642,higher,18
1673,hope,18
500,bring,18
635,check,18
226,anoth,18
1269,face,18
1356,flu,18
3985,within,18
1721,id,18
2376,nation,18
1058,doctor,18
2541,omicron,18
1687,hour,18
4005,world,18
3988,woman,18
471,boostershot,18
2772,popul,17
1300,fauci,17
1029,discus,17
2126,made,17
151,ago,17
1030,diseas,17
3017,research,17
2348,much,17
2777,possibl,17
2998,remain,17
2761,polici,17
1338,fine,17
186,alreadi,17
2422,next,17
2479,novemb,17
2437,nih,17
590,caus,17
3812,vax,17
2049,level,17
2522,offic,16
998,develop,16
185,along,16
3136,safeti,16
928,death,16
518,build,16
2004,last,16
2085,local,16
137,advisori,16
3138,said,16
3564,thing,16
2962,reduc,16
2101,look,16
564,card,16
3235,share,16
3789,vaccinemand,15
1317,feel,15
2204,medicin,15
1367,follow,15
688,close,15
275,art,15
3797,vaccineswork,15
994,detail,15
1629,here,15
3637,travel,15
2969,refus,15
1408,friend,15
1253,experi,15
1446,gener,15
3459,support,15
3969,widespread,15
3173,scientif,15
3285,singl,15
407,biden,15
3335,south,15
3320,societi,14
2717,photo,14
89,academi,14
823,could,14
2585,other,14
887,current,14
965,delta,14
2566,opportun,14
3544,that,14
3462,sure,14
2946,recent,14
745,complet,14
954,defens,14
3022,resourc,14
2506,obstetrician,14
1523,grate,14
2069,line,14
1189,enter,14
1176,end,14
1866,jampj,14
3725,univers,14
3492,talk,13
1335,final,13
320,author,13
3193,second,13
3171,school,13
1555,gynecologist,13
256,approach,13
1732,ill,13
940,decis,13
272,around,13
937,decemb,13
3019,resid,13
1254,experienc,13
3467,survey,13
2133,major,13
1606,healthcar,13
239,anyon,13
2073,list,13
99,acip,13
2804,prepar,12
2630,part,12
2625,parent,12
227,answer,12
2800,pregnanc,12
3825,ventil,12
258,approv,12
2537,old,12
3515,tell,12
3755,usa,12
2683,person,12
2482,number,12
491,breakthrough,12
70,aaa,12
2170,maternalfet,12
2475,nov,12
979,depart,12
1372,forc,12
1076,dont,12
3620,total,12
3565,think,12
277,articl,12
3174,scientist,12
4053,your,12
1646,highli,12
3033,result,11
1234,evolv,11
1368,food,11
3444,success,11
2776,posit,11
2834,process,11
2697,pfizerbiontech,11
3909,watch,11
3265,side,11
29,2nd,11
125,administr,11
3616,tool,11
2879,put,11
3663,tuesday,11
2702,pharmaci,11
1003,dhpsp,11
160,airborn,11
2919,rare,11
2368,myocard,11
3613,tomorrow,11
445,blog,11
1595,havent,11
1501,gotten,11
1683,host,11
3281,sinc,10
2635,partner,10
3267,sign,10
2749,playhous,10
2044,let,10
287,associ,10
3751,urg,10
619,challeng,10
3590,tightfit,10
3889,walkin,10
3030,restaur,10
2789,practic,10
1535,group,10
2106,lot,10
2843,progress,10
1421,futur,10
224,announc,10
124,administ,10
623,chanc,10
2138,manag,10
3172,scienc,10
1574,happi,10
20,1st,10
512,buck,10
1601,head,10
3002,remind,10
2007,latest,10
3412,stori,10
3218,seri,10
1231,evid,10
3641,treat,10
2491,nyc,10
2342,mrna,10
3642,treatment,10
1479,global,10
2140,mandatori,10
2328,morn,10
1667,home,10
1110,due,10
2074,listen,10
2523,offici,10
2070,link,9
1793,initi,9
3378,start,9
2700,pharma,9
1105,drug,9
779,contact,9
1616,heard,9
2819,primari,9
2841,program,9
2859,proud,9
718,colorado,9
3219,seriou,9
2953,record,9
3837,video,9
540,california,9
3155,sarscov2,9
4051,young,9
559,cant,9
3082,robust,9
107,action,9
3867,vote,9
2398,nearest,9
93,accord,9
3633,transmiss,9
1746,immunocompromis,9
2151,marin,9
3628,track,9
2094,long,9
1059,document,9
934,dec,9
80,abl,9
2083,lo,9
216,angel,9
343,bar,9
3506,team,9
1169,employ,9
3577,three,8
1404,friday,8
3978,winter,8
1209,especi,8
3645,tri,8
741,compar,8
3657,trust,8
3225,set,8
2291,mix,8
3278,simpl,8
3760,usfda,8
3713,understand,8
2428,nh,8
2472,note,8
2461,normal,8
335,babi,8
2932,readi,8
3204,seen,8
153,ahead,8
1258,explain,8
3927,websit,8
3826,venu,8
1250,expect,8
665,citizen,8
1013,differ,8
545,campaign,8
2190,mean,8
3586,ticket,8
2993,releas,8
3958,whether,8
1688,hous,8
3684,type,8
3614,tonight,8
788,control,8
3986,without,8
3396,step,8
3334,sourc,8
1658,hit,8
2619,panel,8
3331,soon,8
3974,win,8
895,daili,8
2810,presid,8
1292,far,8
264,arent,7
1249,expand,7
807,corona,7
1193,entri,7
1549,guidanc,7
3930,wednesday,7
2641,past,7
3558,there,7
1803,inperson,7
1124,easier,7
2194,measur,7
4038,ye,7
4043,yesterday,7
1123,easi,7
3832,veteran,7
1722,idea,7
1188,ensur,7
2739,place,7
1895,john,7
2671,per,7
3066,rise,7
872,critic,7
2722,physician,7
1394,frame,7
412,big,7
2971,regard,7
834,court,7
772,consid,7
147,agenc,7
1347,five,7
2822,prior,7
760,condit,7
3887,walk,7
906,dashboard,7
755,concern,7
1854,ive,7
2598,overal,7
3585,thursday,7
1163,email,7
1702,human,7
3038,return,7
1290,fan,7
1061,doesnt,7
624,chang,7
1220,europ,7
1476,given,7
98,achiev,7
132,advers,7
2783,potu,7
2787,power,7
2633,particip,7
351,base,7
555,candid,7
2628,park,7
1328,fight,7
490,breakingnew,7
1070,done,7
1988,la,6
1271,fact,6
1091,drfauci,6
1857,jab,6
612,certain,6
1081,door,6
3001,rememb,6
2019,le,6
649,choic,6
2113,lowest,6
2111,low,6
747,compli,6
2058,life,6
1418,fund,6
2571,option,6
2825,prison,6
2574,order,6
1352,florida,6
1617,heart,6
2791,precaut,6
789,controversi,6
2636,partnership,6
1463,getvaccinatednow,6
2259,militari,6
1190,entertain,6
2563,oper,6
2546,oncamera,6
650,choos,6
1812,insur,6
2977,regist,6
1573,happen,6
2976,region,6
2169,match,6
2162,maskless,6
2002,larg,6
991,despit,6
1244,exempt,6
1403,frequent,6
2934,real,6
2927,reach,6
2014,law,6
1226,ever,6
2868,publichealth,6
1893,job,6
1191,entir,6
2827,privat,6
318,austria,6
37,3rd,6
3423,stronger,6
3567,third,6
3721,unit,6
3317,social,6
3114,run,6
3533,texa,6
189,alway,6
3936,weekli,6
553,cancer,6
182,almost,6
3147,san,6
546,campu,6
3353,spike,6
3454,super,6
143,africa,6
3463,surg,6
139,affect,6
95,account,6
437,black,6
3991,wonder,6
3188,seattl,6
3617,top,6
263,area,6
4001,workplac,6
3264,sick,6
3417,street,6
3302,smart,5
1946,key,5
2230,messag,5
1069,donat,5
2205,medium,5
2942,reason,5
3526,terror,5
2282,misinform,5
1260,explor,5
3339,spanish,5
3290,six,5
2435,night,5
2246,michigan,5
787,contribut,5
3512,teen,5
1295,fast,5
3594,tip,5
3196,secretari,5
131,advanc,5
1879,jesuit,5
283,ask,5
3496,task,5
2485,nurs,5
957,definit,5
3876,vulner,5
753,compulsori,5
3819,vaxupphilli,5
740,compani,5
3799,vaer,5
181,allow,5
249,appeal,5
1149,egw,5
1043,distanc,5
3655,trump,5
2116,luck,5
3568,thisisourshot,5
2363,mutat,5
1019,dine,5
1185,enough,5
2808,present,5
2339,move,5
1015,digit,5
3572,thought,5
3749,uptod,5
3629,tracker,5
1810,institut,5
1004,diabet,5
2399,nearli,5
703,code,5
2186,md,5
2917,rank,5
3253,short,5
328,awar,5
188,although,5
2861,proven,5
118,address,5
286,assist,5
824,council,5
3922,wearamask,5
568,caregiv,5
4011,worth,5
3015,request,5
1603,heal,5
1716,ibd,5
3949,west,5
3952,weve,5
3956,what,5
2642,patent,5
1426,game,5
1671,honor,5
3086,role,5
1615,hear,5
2721,physic,5
889,custom,5
1657,histori,5
3967,wide,5
1631,hesit,5
1638,hhsgov,5
1640,hi,5
1647,highlight,5
3425,strongli,5
610,centr,5
4019,wsj,5
3925,webinar,5
1725,identifi,5
3159,save,5
2675,perfect,5
2764,polit,5
939,decid,5
106,act,5
2704,pharmalittl,5
2705,pharmalot,5
2544,omnicron,5
2756,podcast,5
865,creat,5
1756,improv,5
2981,regular,5
586,catch,5
374,began,5
1566,hand,5
4050,youll,5
375,begin,5
1552,gym,5
1752,implement,5
1449,genocid,5
1378,form,5
2290,mitig,4
3575,threat,4
2638,pas,4
2331,mother,4
2648,patron,4
1046,district,4
857,cowork,4
298,atrupar,4
3582,throughout,4
2655,pavilion,4
953,defeat,4
2369,myth,4
2405,neighbor,4
2518,octob,4
3488,taken,4
3479,symptom,4
971,demonstr,4
3466,surpass,4
2458,noon,4
2438,nihceal,4
3458,suppli,4
3527,terrorist,4
993,destruct,4
913,david,4
995,detect,4
3452,sunday,4
3547,theaterbcp,4
330,away,4
2568,opposit,4
329,award,4
380,believ,4
381,bell,4
1010,didnt,4
950,dedic,4
2583,osha,4
3446,suggest,4
385,benefit,4
2613,page,4
1020,dinner,4
3571,though,4
3741,upcom,4
1094,drive,4
1396,franci,4
1736,imag,4
1741,immedi,4
1379,former,4
1748,impact,4
3904,wash,4
1754,implic,4
90,accept,4
96,accur,4
1361,flyer,4
101,acp,4
1783,infecti,4
104,acr21,4
108,activ,4
109,actual,4
1805,insight,4
1341,fire,4
1336,financi,4
1323,festiv,4
1837,invit,4
1720,icymi,4
1401,freedom,4
2251,might,4
3959,white,4
1542,guard,4
4057,youv,4
1506,governor,4
1502,gov,4
9,11yearold,4
1579,hard,4
1478,glad,4
4009,worri,4
1475,giveaway,4
4007,worldwid,4
3994,word,4
3984,wish,4
3982,wise,4
1650,highrisk,4
3964,whole,4
1659,hiv,4
1664,hold,4
1432,garden,4
54,617to416,4
122,adm2021,4
3874,vsafe,4
1875,jerusalem,4
1888,jnj,4
2097,longer,4
2099,longterm,4
231,anticip,4
1168,emphas,4
234,antivaccin,4
1165,emerg,4
1151,either,4
3646,trial,4
1145,efficaci,4
253,appli,4
2159,maryland,4
259,appt,4
2173,matter,4
2187,mdhh,4
1115,dyk,4
3615,took,4
3606,told,4
3602,togeth,4
2236,mexico,4
2088,lockdown,4
2075,littl,4
3381,statement,4
3817,vaxnew,4
1291,faq,4
3858,vital,4
3856,visitor,4
1273,factor,4
1266,extrem,4
1264,extra,4
154,ahrq,4
157,aim,4
1240,except,4
3745,upon,4
175,algorithm,4
184,alon,4
1216,ethic,4
191,alzheim,4
1203,equiti,4
2057,lie,4
192,amaz,4
3750,urban,4
415,bigpharma,4
0,01the,4
3213,sentenc,4
3341,speak,4
621,champion,4
3113,rule,4
3195,secret,4
3358,spot,4
1518,grant,4
758,conclud,4
3209,sen,4
3056,rich,4
663,circuit,4
3026,respond,4
3133,safer,4
429,biotech,4
2996,religi,4
696,cnn,4
3366,st,4
3135,safest,4
2894,questionbuild,4
2754,plu,4
749,complic,4
793,convert,4
820,cost,4
2958,recruit,4
2746,play,4
424,billoccham,4
3158,saturday,4
774,consist,4
558,cannot,4
726,comfort,4
440,bless,4
682,click,4
3199,secur,4
2769,pop,4
492,breastfeed,4
3344,special,4
602,celebr,4
2948,recipi,4
2949,recogn,4
2910,rais,4
689,closer,4
2706,phase,4
687,clinician,4
605,cell,4
2715,phlpublichealth,4
538,calgari,3
3635,transplant,3
3247,shingl,3
2992,relat,3
1389,fox,3
2182,mcc,3
2991,rel,3
3625,town,3
473,border,3
2225,merck,3
2221,mental,3
1384,forward,3
2192,meanwhil,3
3915,wavy10,3
639,chicago,3
2210,meet,3
641,chief,3
1757,imvaccin,3
2163,maskup,3
485,brand,3
3905,washington,3
2848,promot,3
3623,tour,3
2164,mass,3
3914,wave,3
3297,slow,3
748,complianc,3
3018,reserv,3
3935,weekend,3
301,attende,3
762,confid,3
3573,thousand,3
1410,front,3
1054,dm,3
764,confirm,3
1700,huge,3
2316,monoclon,3
765,congress,3
2341,mrk,3
66,90th,3
1045,distribut,3
1691,hr,3
1417,fun,3
1042,disproportion,3
1706,hundr,3
2315,monitor,3
2839,profit,3
2273,minnesota,3
2837,profession,3
2836,product,3
3004,remov,3
2835,produc,3
1141,educ,3
1087,download,3
2270,minist,3
2276,minor,3
2308,moment,3
630,chart,3
290,assur,3
2285,miss,3
294,atana,3
3584,thru,3
2295,mn,3
2298,mobil,3
3636,transport,3
102,acquir,3
1760,incid,3
1882,jilevin,3
3827,verif,3
1996,lake,3
2000,lapublichealth,3
3207,select,3
3814,vaxart,3
2954,recov,3
1241,excit,3
1238,exceed,3
2009,latino,3
3800,valid,3
1308,featur,3
2016,layer,3
3795,vaccinessavel,3
2956,recoveri,3
2957,recreat,3
2022,leader,3
2023,leadership,3
674,class,3
3830,vermont,3
2146,manufactur,3
1255,experiment,3
1918,judg,3
1282,fall,3
1928,kadelia,3
1905,joint,3
1950,kick,3
1275,faculti,3
144,african,3
2943,rec,3
3848,virginia,3
1270,facil,3
3839,viewer,3
3202,seek,3
3864,volum,3
1261,expo,3
677,clearli,3
3866,voluntari,3
2939,realli,3
2921,rather,3
2030,leav,3
1217,eua,3
1316,feedback,3
526,bust,3
1804,insid,3
3675,twilio,3
1346,fit,3
3671,turnout,3
3670,turn,3
658,church,3
2974,regimen,3
2353,multipl,3
237,antivir,3
3660,truth,3
100,acog,3
723,combin,3
3653,true,3
244,apart,3
489,break,3
2980,regul,3
3680,twodos,3
112,ad,3
1339,finish,3
1198,episod,3
121,adjust,3
1214,et,3
1212,establish,3
1211,essenti,3
1841,iran,3
1839,iowa,3
2898,quickli,3
3217,sequenc,3
116,add,3
2066,limit,3
1829,introduc,3
711,colleagu,3
3729,unlik,3
1332,fill,3
211,analysi,3
3224,session,3
2817,previous,3
1913,joy,3
627,charg,3
600,cedarssinai,3
1468,gift,3
33,32m,3
30,2pm,3
2534,oklahoma,3
3087,roll,3
2760,polic,3
367,becam,3
595,ccstaysaf,3
814,correct,3
3051,rhhbi,3
2555,onlin,3
2558,onsit,3
4013,wouldnt,3
2748,player,3
1600,he,3
910,date,3
3450,summit,3
3475,swab,3
942,declanchellar,3
611,ceo,3
3992,wont,3
3109,rsna21,3
3032,restrict,3
968,demand,3
1453,georgia,3
348,barrier,3
2480,npr,3
2481,nuecesknow,3
1454,germani,3
958,degre,3
802,copi,3
2494,nychealthsystem,3
42,4th,3
2770,pope,3
2495,nytim,3
2500,obgyn,3
3094,room,3
946,decreas,3
1485,goal,3
379,behind,3
431,birthday,3
1487,god,3
585,cat,3
3079,robert,3
1548,guid,3
4055,youth,3
837,coverag,3
863,crawford,3
3077,robberi,3
2664,pediatrician,3
1508,govrondesanti,3
3074,rna,3
3374,stand,3
1539,gt,3
2673,percent,3
3375,standard,3
1536,grow,3
1529,greec,3
2692,peterhotez,3
401,beyond,3
1550,guidelin,3
875,crowd,3
2599,overcom,3
2732,pill,3
1581,harder,3
2589,outcom,3
826,count,3
2590,outdoor,3
2592,outreach,3
2593,outsid,3
4040,yearold,3
3372,stage,3
4046,york,3
1560,half,3
4047,yorker,3
2631,parti,3
2632,partial,3
3418,strengthen,3
3061,ride,3
2469,nose,3
357,bay,3
3327,someth,3
319,austrian,3
3519,ten,3
1023,director,3
1022,directli,3
3960,whitehous,3
3021,resolut,3
1014,difficult,3
2414,never,3
444,blockchain,3
331,awesom,3
1012,diego,3
446,blood,3
3023,respect,3
3115,rupert,3
2392,ncpol,3
2413,neutral,3
614,certif,3
1655,hire,3
3536,text,3
2463,north,3
2799,prefer,3
2796,predict,3
2798,predomin,3
2401,necessari,3
563,capit,3
2420,newsmax,3
3028,rest,3
3326,someon,3
1684,hot,3
2782,potenti,3
2439,nj,3
3971,will,3
3557,therapi,3
771,conserv,3
3304,smartphon,3
3510,technolog,3
3020,resist,3
3340,spark,3
2781,postvaccin,3
2358,murdoch,3
773,consider,3
315,austin,3
1028,discov,3
58,730pm,3
3025,respiratori,2
3929,wed,2
3871,voxdotcom,2
1856,ivermectin,2
3872,vrbpac,2
1696,hrsagov,2
1851,item,2
1527,greatest,2
1712,hygien,2
3928,wecandothi,2
3083,roc,2
3857,visual,2
1582,hardest,2
1541,guam,2
1846,island,2
4058,yr,2
3131,safeguard,2
4063,zip,2
1711,hydroxychloroquin,2
1897,johnjharwood,2
3198,sector,2
1863,jamaica,2
1676,hopkin,2
1894,joe,2
4052,younger,2
1704,humanresourc,2
3075,road,2
2951,recommit,2
1669,honest,2
1708,hurt,2
3962,whittier,2
3052,rhiju,2
1878,jesu,2
1908,joncoopertweet,2
3057,richard,2
1665,holi,2
1709,husband,2
3942,wellb,2
1870,jbfc,2
1562,halloween,2
1564,hampshir,2
3868,voteblu,2
3933,wednesdaythought,2
3865,volunt,2
3869,votesci,2
4041,yep,2
1643,highereduc,2
1845,isaiahfrench14,2
1774,indic,2
1769,india,2
3920,wealthi,2
1628,herd,2
1729,igottheshot,2
1649,highprofil,2
1625,hello,2
1622,hek293,2
3163,scari,2
1728,ignor,2
3170,scholarship,2
3993,woot,2
3898,wane,2
3946,went,2
2973,regenstrief,2
1765,incred,2
2978,registr,2
3180,screen,2
2983,rehabilit,2
3981,wisconsin,2
1750,impass,2
3977,winner,2
3100,round,2
1742,immigr,2
2986,reinfect,2
3902,warn,2
3111,rt,2
3900,war,2
3156,sat,2
1737,imagin,2
1632,hey,2
3036,resurg,2
3919,weaken,2
3040,reuter,2
3181,scroll,2
4016,wrap,2
1831,invent,2
3048,rheumatologist,2
1821,intern,2
1823,internist,2
3050,rheumcovid,2
3191,secdef,2
3014,republican,2
1833,invest,2
3042,review,2
1834,investig,2
1836,invis,2
2959,red,2
1719,icu,2
1597,hawaii,2
1844,irv,2
3926,webpag,2
3139,sail,2
3891,wall,2
1808,instead,2
1614,healthyki,2
3890,walkup,2
1652,hill,2
3152,santa,2
1611,healthyboston,2
1724,identif,2
3041,reveal,2
1818,interest,2
2966,reform,2
1604,healer,2
3881,wake,2
3187,seat,2
2964,reemerg,2
3879,wait,2
3379,stat,2
3705,uncov,2
1940,kenloncz,2
2779,poster,2
3318,socialdist,2
3323,solid,2
2393,ncpolicywatch,2
2397,nearbi,2
3530,testimoni,2
2790,pray,2
3337,space,2
2785,potuss,2
2417,newhampshir,2
3517,temporari,2
3514,telephon,2
2436,nightlif,2
3507,teamfbcc,2
1944,kern,2
2465,northeast,2
2467,northwest,2
2471,notabl,2
2778,post,2
3503,teach,2
2476,novaccinemand,2
3495,tanner,2
3490,tale,2
2484,nuremberg,2
2493,nychealthi,2
3484,tablet,2
2498,oakley,2
3308,smooth,2
2390,ncgov,2
2389,ncga,2
2388,nced,2
3580,thrive,2
2307,mom,2
2318,monopoli,2
3579,thrill,2
2319,monro,2
2323,monthli,2
2824,prioriti,2
2332,motion,2
2338,mouth,2
3072,rituximab,2
2343,mrna1273,2
3303,smartnew,2
2345,mtg,2
2818,price,2
2349,mucos,2
2355,multipurpos,2
2359,music,2
3305,smdh,2
2373,name,2
3551,theeconomist,2
2378,nativehealth,2
3545,thdivewhisper,2
2380,naturalimmun,2
2386,nbcnew,2
3307,smile,2
2503,observ,2
3483,tab,2
2507,obtain,2
2725,pico,2
3443,substitut,2
3369,stadium,2
3440,submit,2
3437,sturdier,2
2724,pick,2
3424,strongest,2
3370,staf,2
2634,particularli,2
3415,strategi,2
2640,passport,2
3411,store,2
2716,phone,2
2644,patienc,2
3402,stillbirth,2
2656,pay,2
3392,stayinform,2
2667,pend,2
2669,pennsylvania,2
3387,status,2
3385,statnew,2
3383,statewid,2
3376,stanfordm,2
2678,perhap,2
2680,period,2
3377,star,2
2610,pacif,2
2587,ought,2
2508,obvious,2
3448,summari,2
2515,occur,2
2765,poll,2
3345,specialist,2
3480,symptomat,2
3346,specif,2
3472,sustain,2
3471,suspect,2
2524,often,2
2531,ok,2
2533,okcic,2
3470,suscept,2
3468,surviv,2
2542,omicronvari,2
2758,point,2
3348,spectrum,2
2547,oncampu,2
2554,ong,2
2562,openvaccin,2
2565,opioid,2
2567,oppos,2
3362,sputnik,2
3449,summer,2
2569,opt,2
2575,ordin,2
2579,origin,2
2300,model,2
2833,problem,2
2287,missouri,2
3779,vaccineboost,2
2034,left,2
2036,legal,2
2037,legisl,2
2916,rang,2
3771,vaccinatecnmi,2
2045,lethal,2
2047,letsgobrandon,2
2053,lhuang3,2
2054,liberti,2
2895,quick,2
2061,lift,2
2889,quarantin,2
3748,uptak,2
3746,upper,2
2884,qham10,2
3722,unitedway,2
2880,putin,2
3229,sf,2
3719,union,2
3710,underli,2
3709,undergo,2
2695,pfe,2
3691,uk,2
2878,pushback,2
2091,log,2
3215,separ,2
3212,senior,2
3683,txlege,2
3781,vaccineequ,2
2944,recap,2
1953,kidshealth,2
3847,viral,2
1956,kind,2
1968,known,2
1975,kung,2
1983,kyri,2
3203,seem,2
3838,view,2
1989,lab,2
3831,version,2
1990,labor,2
1995,lag,2
2937,realcandaceo,2
1999,languag,2
3811,vast,2
2005,late,2
3810,variou,2
2012,launch,2
3803,valneva,2
2015,lawyer,2
3210,senat,2
2929,reaction,2
2020,lead,2
3794,vaccinesideeffect,2
3687,uaw,2
2877,push,2
3284,singapor,2
3251,shop,2
3621,touch,2
3618,topic,2
2203,medicar,2
2846,project,2
3254,shortag,2
2842,programm,2
2212,meharrymed,2
2213,meinert,2
3276,silver,2
3277,similar,2
2217,memphi,2
2224,merci,2
2840,profound,2
2232,met,2
2234,metoo,2
2250,midst,2
2256,mild,2
3598,tmobil,2
2262,millionstop,2
3596,tirelessli,2
2263,milwauke,2
2264,mind,2
3279,simul,2
2277,minut,2
2280,miser,2
3624,toward,2
2853,propos,2
2875,pursu,2
2172,mathew,2
3673,tweet,2
3234,shape,2
2872,puerto,2
2871,publish,2
2869,publicli,2
2112,lower,2
3669,turkey,2
3666,tumor,2
3237,sharp,2
2119,lung,2
2123,mac,2
2131,main,2
2132,maintain,2
3643,trend,2
3240,sheep,2
3638,travelersorg,2
2862,proverb,2
2860,prove,2
2150,mariett,2
3248,ship,2
2165,massachusett,2
2166,massdph,2
2167,massleagu,2
3631,train,2
2857,protein,2
3073,river,2
2032,led,2
377,begun,2
302,attent,2
597,cdcdirector,2
1021,direct,2
867,credit,2
1195,epidemiologist,2
1024,disabl,2
1192,entrepreneur,2
1370,footbal,2
149,aggress,2
1187,enrol,2
313,augusta,2
1183,engulf,2
864,creakyjoint,2
1027,disclosur,2
1377,forget,2
625,chapman,2
1359,fluvaccin,2
478,bot,2
479,bottom,2
589,cathol,2
303,atthejbfc,2
1208,esp,2
1349,flexibl,2
1207,erictopol,2
304,attorney,2
1205,era,2
165,albani,2
877,cruis,2
307,atulgrovermd,2
1202,equit,2
592,cbsnew,2
593,cc,2
1201,equateal,2
878,cruiser,2
860,cr,2
136,advisor,2
135,advis,2
1424,gain,2
462,bodi,2
92,accomplish,2
461,bobbypatriot69,2
87,abus,2
1048,divid,2
1049,divis,2
83,abroad,2
843,covid19u,2
660,ciara,2
833,cours,2
1153,elderli,2
1428,gamer,2
1429,gap,2
832,coupl,2
339,baker,2
338,bad,2
323,ave,2
1034,disney,2
1179,enforc,2
467,book,2
1178,endors,2
126,admiss,2
324,averag,2
1391,foxnew,2
1035,disneyland,2
110,actuari,2
115,adapt,2
848,covidiot,2
332,azn,2
1038,disord,2
1039,dispar,2
1407,fridaythought,2
481,box,2
482,boy,2
1434,garment,2
1210,esperanzahope4al,2
215,andrewholnessjm,2
214,andor,2
1267,eye,2
1297,father,2
247,aph,2
248,app,2
250,appel,2
1263,extend,2
255,appreci,2
930,deathsanti,2
257,appropri,2
261,april,2
926,dear,2
925,dean,2
265,argu,2
548,campuswid,2
218,angeleno,2
520,built,2
535,cagovernor,2
235,antivax,2
962,deliv,2
963,deliveri,2
223,annastaciamp,2
532,ca,2
1278,fair,2
967,deltavari,2
547,campus,2
970,demograph,2
972,deni,2
541,californian,2
944,declin,2
544,came,2
1285,falter,2
923,deadlin,2
1304,fcked,2
922,deadliest,2
996,determin,2
493,breath,2
284,ass,2
896,dakota,2
894,da,2
571,caribbean,2
990,design,2
1221,european,2
901,dan,2
292,astrazeneca,2
486,brandnew,2
177,alleg,2
578,carri,2
1215,etc,2
1213,estim,2
900,damn,2
1324,fetal,2
1306,fear,2
1311,fed,2
203,amongst,2
920,dead,2
270,arm,2
502,brooklyn,2
1310,februari,2
561,capac,2
981,departur,2
1239,excel,2
982,deploy,2
916,dc,2
195,america,2
911,dave,2
498,bright,2
497,bridg,2
1152,elcaminoaso,2
1388,four,2
1095,drivethrough,2
443,block,2
55,6th,2
763,confidenti,2
1067,domest,2
801,cop,2
761,confer,2
423,billkristol,2
1492,goldfing,2
40,45th,2
1096,drivethru,2
1114,duty2warn,2
15,18th,2
60,80k,2
411,bidenyour,2
683,client,2
680,clergi,2
1450,genocidereaper7,2
36,3dose,2
709,colinpowel,2
698,coach,2
62,8am4pm,2
815,correl,2
1072,donnakuntz7,2
418,bill,2
710,coliseum,2
1128,eat,2
1113,duti,2
770,consent,2
1464,getvax,2
416,biib,2
50,5x,2
1132,ecmhsp,2
